,feature,fold_1,fold_2,average
521,M8_count_full,36,37,36.5
522,M9_count_full,13,22,17.5
523,id_05_d,62,55,58.5
524,id_06_d,54,73,63.5
525,id_30_count,16,177,96.5
526,System,14,72,43.0
527,SystemCorp,14,23,18.5
528,LastestBrowser,0,1,0.5
529,id_31_count,190,477,333.5
530,MSBrowser,0,23,11.5
531,AppleBrowser,1,5,3.0
532,GoogleBrowser,7,25,16.0
533,BrowserType,18,42,30.0
534,id_33_count,67,362,214.5
535,DisplaySize,38,290,164.0
536,id_02__id_20,181,593,387.0
537,id_13__id_17,61,233,147.0
538,id_02__D8,89,350,219.5
539,D11__DeviceInfo,298,707,502.5
540,DeviceInfo__P_emaildomain,487,1184,835.5
541,card2__dist1,708,1932,1320.0
542,card1__card5,630,1786,1208.0
543,card2__id_20,472,1463,967.5
544,card5__P_emaildomain,525,1494,1009.5
545,addr1__card1,1338,3643,2490.5
546,id_30_DeviceTpye,21,100,60.5
547,id_31_DeviceTpye,138,270,204.0
548,id_33_DeviceTpye,38,127,82.5
549,DeviceInfo_DeviceTpye,38,207,122.5
550,DeviceCorp,40,201,120.5
551,id_02_log,98,530,314.0
552,C5_d,76,116,96.0
553,D8_mul_D9,222,533,377.5
554,TransAmt_mul_dist1,667,2454,1560.5
555,TransAmt_per_TransDT,969,2960,1964.5
556,P_emaildomain__C2,692,1836,1264.0
557,P_emaildomain__card1,1347,3353,2350.0
558,P_emaildomain__card2,1054,3070,2062.0
559,card2__card4,254,729,491.5
560,card4__card6,174,259,216.5
561,P_emaildomain__card1__card2,881,2251,1566.0
562,addr1__card1__card2,846,2271,1558.5
